	AC010789.1	MIS18A-AS1	LINC00659	LINC02575	LINC00486	MIR205HG	LINC01436	MIR4280HG	LINC01115	LINC02428	AC226118.1	PURPL	MIR3142HG	LINC01300	PKIA-AS1	LINC02688	AC016705.1	AL035425.3	NFE2L1-DT	LINC02675	LINC00668	FENDRR	AC132192.2	AC010359.2	AC099343.2	AL353708.3	AP001412.1	AL355512.1	PICSAR	AC092117.1	AL139123.1	AC087239.1	AC207130.1	AL358777.3	AC211476.6	AC133530.1	AL513128.3	AC053545.1	state
tw14	0	5	11	2	3	0	21	8	1	0	6	4	17	73	8	744	3	2	60	51	3	2340	84	36	26	32	15	1	2	194	20	12	7	13	6	0	12	1	0
tw15	0	8	9	1	2	1	19	71	7	2	3	4	25	1	5	480	8	4	31	5	0	38	35	13	18	22	7	5	0	38	9	7	6	13	4	1	14	87	0
tw16	0	11	87	1	2	958	27	18	0	0	2	3	36	6	5	69	3	0	22	1	0	102	35	9	32	7	2	1	6	34	14	20	2	9	8	30	28	7	0
tw17	0	12	73	6	3	1	137	46	2	0	0	2	460	2	7	16	8	1	73	0	0	38	107	20	11	45	21	19	0	98	19	26	42	29	7	3	8	15	0
tw18	0	10	91	1	2	2	6	13	5	0	32	174	217	6	8	111	2	0	26	0	5	44	21	7	11	14	4	2	9	40	5	13	11	7	9	4	27	4	0
tw19	1	5	7	8	4	1	141	9	0	0	3	0	85	3	4	492	0	0	17	0	0	339	17	8	7	8	4	11	5	65	5	11	12	8	5	3	19	0	0
tw20	0	60	3	30	0	29157	8	83	0	0	395	2	1806	0	7	458	26	2	242	0	0	169	389	107	154	205	67	76	2	1800	98	306	0	63	26	1	62	653	0
tw21	0	6	14	2	111	21	8	17	0	0	13	2	15	0	3	51	4	2	16	2	18	61	40	8	14	10	4	2	28	32	11	10	0	6	2	867	8	14	0
tw22	0	10	187	0	2	4	24	11	0	0	1	4	43	126	6	114	1	2	81	0	0	186	104	21	52	48	10	9	3	87	31	60	0	38	17	0	41	2	0
tw23	0	7	127	13	1	1191	1	11	0	52	13	0	107	8	3	53	0	0	18	0	0	142	34	14	15	6	1	8	27	26	10	10	9	12	3	35	2	2	0
tw24	0	7	40	4	2	0	27	7	0	0	4	0	93	17	3	12	0	2	40	0	0	106	45	11	34	8	5	3	1	33	15	11	1	34	15	0	20	2	0
tw25	0	18	27	2	1	31	7	36	1	0	3	6	125	1468	8	80	3	2	70	1	0	39	62	32	20	34	14	1	0	228	15	14	1	27	8	10	24	26	0
tw26	0	4	25	1	0	1	1	2	3	0	1	0	13	500	4	75	3	1	14	0	12	60	27	10	9	9	1	5	1	15	5	7	1	7	6	0	15	1	0
tw27	0	4	5	0	2	1371	109	9	0	0	3	4	45	7	1	27	0	1	26	0	0	43	21	9	11	20	5	115	16	62	6	14	0	7	5	1	10	2	0
tw28	0	3	61	0	0	0	22	18	0	0	2	7	43	57	2	27	3	4	33	0	16	307	68	7	30	28	5	1	0	50	9	11	0	40	9	2	13	0	0
tw29	1	58	75	16	3	8	36	849	250	0	20	12	181	2	5	44	1	0	120	1	513	359	85	40	26	47	17	5	1	608	14	43	7	35	18	4	110	216	0
tw30	0	5	136	3	0	31	7	7	0	3	0	0	14	217	14	159	0	0	61	0	0	97	135	38	41	31	3	1	4	124	26	68	4	67	19	0	8	1	0
tw31	0	10	144	12	62	1	60	30	3	0	14	1	26	4	3	452	2	4	22	1	1	53	34	16	43	22	7	4	4	85	11	6	13	34	9	8	32	8	0
tw32	1	12	16	1	0	1	9	11	0	18	15	1	208	11	9	7	1	1	8	0	51	50	35	8	47	21	3	0	3	84	14	23	2	11	14	0	28	10	0
tw33	0	5	2	3	2	0	9	3	1	0	5	1	20	0	3	85	1	1	10	0	2	142	7	10	6	3	0	3	0	50	4	2	0	11	1	3	7	2	0
tw34	0	8	62	0	3	108	19	19	0	0	1	1	41	15	10	41	1	4	18	0	1	69	64	22	51	24	7	2	0	46	9	20	0	3	4	3	19	2	0
tw35	8	19	8	9	1	78	26	13	3	4	25	1	183	3	10	403	4	5	49	0	52	371	62	18	25	31	6	0	0	22	15	25	0	21	9	829	37	6	0
tw36	0	7	43	6	0	1	31	19	1	0	4	0	31	1	2	7	1	1	9	0	0	86	12	10	15	1	3	6	2	73	5	11	1	13	3	0	7	4	0
